TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;389726781567;;8400004805076
M;389726781568;;8400004819165
M;389726781569;;8400004819172
M;389726781570;;8400004819189
M;389726781571;;8400004819196
M;389726781572;;8400004819202
M;389726781573;;8400004819219
M;389726781574;;8400004819226
M;389726781575;;8400004819233
M;389726781576;;8400004819240
M;389726781577;;8400004819257
M;389726781578;;8400004819264
M;389726781579;;8400004819271
M;031427532366;;8059552918143
M;031427532367;;8059552912400
M;031427532368;;8059552912417
M;031427532369;;8059552912431
M;031427532370;;8059552912455
M;031427532371;;8059552912462
M;031427532372;;8059552912479
M;031427532373;;8059552918167
M;031427532374;;8059552928326
M;031427532375;;8059552931746
M;031427532376;;8059552909448
M;031427532377;;8059552909455
M;031427532378;;8059552909462
M;031427532379;;8059552909479
M;031427532380;;8059552909486
M;031427532381;;8059552909493
M;031427532382;;8059552915166
M;031427532383;;8059552931753
M;031427532384;;8059552932057
M;031427532385;;8059552923727
M;031427532386;;8059552922294
M;031427574409;;8059552763996
M;031427574408;;8059552797816
M;031427574407;;8059552797830
M;031427532388;;8059552922317
M;031427532389;;8059552922324
M;031427532390;;8059552922331
M;031427532391;;8059552922348
M;031427532392;;8059552932064
M;031427573261;;8059552798455
M;031427573262;;8059552798431
M;031427573263;;8059552798424
M;031427574403;;8059552797861
M;031427574404;;8059552797847
M;031427574405;;8059552797823
M;031427574406;;8059552797854
M;031427574410;;8059552750538
M;031427574413;;8059552790350
M;031427574414;;8059552768458
M;031427574411;;8059552736730
